,FILE_NAME,MISSION_PHASE_NAME,ORBIT_NUMBER,ORBITAL_RANGE,CENTER_LATITUDE,CENTER_LONGITUDE,MAXIMUM_LATITUDE,MINIMUM_LATITUDE,EASTERNMOST_LONGITUDE,WESTERNMOST_LONGITUDE,INCIDENCE_ANGLE,EMISSION_ANGLE,PHASE_ANGLE,LOCAL_TIME,SOLAR_LONGITUDE,SUB_SOLAR_AZIMUTH,NORTH_AZIMUTH,MRO:OBSERVATION_START_TIME,START_TIME,SPACECRAFT_CLOCK_START_COUNT,STOP_TIME,SPACECRAFT_CLOCK_STOP_COUNT,PRODUCT_CREATION_TIME,SCALING_FACTOR,OFFSET,CENTER_FILTER_WAVELENGTH,IMG_URL,LABEL_URL,REQUIRED_STORAGE_BYTES
10,PSP_001338_2480_UNFILTERED_COLOR.IMG,PRIMARY SCIENCE PHASE,1338,1300 - 1399,90.0,0.0,68.011138566683,67.955142287346,260.03970586129,259.96528075436,58.342612,12.468447,47.568358,15.26281,132.47276,247.250899,9.997507,2006-11-08T18:01:04.275,2006-11-08T18:01:04.362,"""847476083:12734""",2016-02-28T15:03:32,"""847476084:30265""",2016-02-28T15:03:32,0.000104957631480552,0.039749841157966,"(900 <NM>, 700 <NM>, 500 <NM>)",https://hirise-pds.lpl.arizona.edu/PDS/RDR/PSP/ORB_001300_001399/PSP_001338_2480/PSP_001338_2480_COLOR.JP2,https://hirise-pds.lpl.arizona.edu/PDS/RDR/PSP/ORB_001300_001399/PSP_001338_2480/PSP_001338_2480_COLOR.LBL,520667160.0
11,PSP_001340_1945_UNFILTERED_COLOR.IMG,PRIMARY SCIENCE PHASE,1340,1300 - 1399,10.0,180.0,14.241983019391,14.085986077476,213.02002105819,212.98168666994,50.285318,5.031441,45.476889,15.49081,132.542497,191.98979,270.0,2006-11-08T21:28:15.882,2006-11-08T21:28:15.956,"""847488514:51710""",2016-02-28T15:34:09,"""847488517:58076""",2016-02-28T15:34:09,0.00026420446853087,0.036707958947461,"(900 <NM>, 700 <NM>, 500 <NM>)",https://hirise-pds.lpl.arizona.edu/PDS/RDR/PSP/ORB_001300_001399/PSP_001340_1945/PSP_001340_1945_COLOR.JP2,https://hirise-pds.lpl.arizona.edu/PDS/RDR/PSP/ORB_001300_001399/PSP_001340_1945/PSP_001340_1945_COLOR.LBL,496483350.0
12,PSP_001341_2010_UNFILTERED_COLOR.IMG,PRIMARY SCIENCE PHASE,1341,1300 - 1399,20.0,180.0,20.90236903818,20.713455250376,184.51512530578,184.47085919404,48.539152,0.282994,48.511221,15.4433,132.580946,186.37751,269.999999,2006-11-08T23:22:29.085,2006-11-08T23:22:29.160,"""847495367:65029""",2016-02-28T15:14:02,"""847495371:47042""",2016-02-28T15:14:02,0.000218843520877927,0.035859594530846,"(900 <NM>, 700 <NM>, 500 <NM>)",https://hirise-pds.lpl.arizona.edu/PDS/RDR/PSP/ORB_001300_001399/PSP_001341_2010/PSP_001341_2010_COLOR.JP2,https://hirise-pds.lpl.arizona.edu/PDS/RDR/PSP/ORB_001300_001399/PSP_001341_2010/PSP_001341_2010_COLOR.LBL,661731840.0
13,PSP_001341_2485_UNFILTERED_COLOR.IMG,PRIMARY SCIENCE PHASE,1341,1300 - 1399,90.0,0.0,68.382050130855,68.336695324693,175.4468146768,175.37171548331,57.751673,0.285792,57.921311,15.08153,132.586005,328.757631,94.590735,2006-11-08T23:37:32.186,2006-11-08T23:37:32.272,"""847496271:06865""",2016-02-28T15:36:15,"""847496272:10057""",2016-02-28T15:36:15,9.26042509422534e-05,0.029095346178166,"(900 <NM>, 700 <NM>, 500 <NM>)",https://hirise-pds.lpl.arizona.edu/PDS/RDR/PSP/ORB_001300_001399/PSP_001341_2485/PSP_001341_2485_COLOR.JP2,https://hirise-pds.lpl.arizona.edu/PDS/RDR/PSP/ORB_001300_001399/PSP_001341_2485/PSP_001341_2485_COLOR.LBL,385903500.0
14,PSP_001341_2650_UNFILTERED_COLOR.IMG,PRIMARY SCIENCE PHASE,1341,1300 - 1399,90.0,0.0,85.063153138239,84.867093090027,151.11152600089,149.65478960087,67.098034,0.119989,67.204609,13.50126,132.587834,322.871542,119.616842,2006-11-08T23:42:56.493,2006-11-08T23:42:56.580,"""847496595:27028""",2016-02-28T15:21:24,"""847496599:47419""",2016-02-28T15:21:24,0.000122116978559981,0.032463820464979,"(900 <NM>, 700 <NM>, 500 <NM>)",https://hirise-pds.lpl.arizona.edu/PDS/RDR/PSP/ORB_001300_001399/PSP_001341_2650/PSP_001341_2650_COLOR.JP2,https://hirise-pds.lpl.arizona.edu/PDS/RDR/PSP/ORB_001300_001399/PSP_001341_2650/PSP_001341_2650_COLOR.LBL,454179648.0
15,PSP_001342_1910_UNFILTERED_COLOR.IMG,PRIMARY SCIENCE PHASE,1342,1300 - 1399,10.0,180.0,10.789049079572,10.694906387566,158.46594290103,158.43572227396,50.866726,0.179067,50.823007,15.47539,132.617639,194.839081,270.0,2006-11-09T01:11:29.930,2006-11-09T01:11:30.004,"""847501908:54831""",2016-02-28T15:52:46,"""847501910:50352""",2016-02-28T15:52:46,0.000165094058859814,0.03322775999439,"(900 <NM>, 700 <NM>, 500 <NM>)",https://hirise-pds.lpl.arizona.edu/PDS/RDR/PSP/ORB_001300_001399/PSP_001342_1910/PSP_001342_1910_COLOR.JP2,https://hirise-pds.lpl.arizona.edu/PDS/RDR/PSP/ORB_001300_001399/PSP_001342_1910/PSP_001342_1910_COLOR.LBL,944720940.0
16,PSP_001342_2680_UNFILTERED_COLOR.IMG,PRIMARY SCIENCE PHASE,1342,1300 - 1399,90.0,0.0,88.052419210971,88.029218513687,64.080659445462,60.899403992187,70.203812,6.623438,65.061699,9.48358,132.626056,349.348169,207.509968,2006-11-09T01:36:29.786,2006-11-09T01:36:29.874,"""847503408:46296""",2016-02-28T15:54:38,"""847503410:63897""",2016-02-28T15:54:38,0.000169812317073785,0.034152264234691,"(900 <NM>, 700 <NM>, 500 <NM>)",https://hirise-pds.lpl.arizona.edu/PDS/RDR/PSP/ORB_001300_001399/PSP_001342_2680/PSP_001342_2680_COLOR.JP2,https://hirise-pds.lpl.arizona.edu/PDS/RDR/PSP/ORB_001300_001399/PSP_001342_2680/PSP_001342_2680_COLOR.LBL,2450800590.0
17,PSP_001343_1970_UNFILTERED_COLOR.IMG,PRIMARY SCIENCE PHASE,1343,1300 - 1399,15.0,180.0,16.790547638424,16.367746319732,130.59985913809,130.52795951205,49.459519,1.482662,47.989846,15.46528,132.656014,190.011341,270.0,2006-11-09T03:05:25.543,2006-11-09T03:05:25.618,"""847508744:29547""",2016-02-28T16:38:25,"""847508752:36986""",2016-02-28T16:38:25,0.000187223544477316,0.04788229218651,"(900 <NM>, 700 <NM>, 500 <NM>)",https://hirise-pds.lpl.arizona.edu/PDS/RDR/PSP/ORB_001300_001399/PSP_001343_1970/PSP_001343_1970_COLOR.JP2,https://hirise-pds.lpl.arizona.edu/PDS/RDR/PSP/ORB_001300_001399/PSP_001343_1970/PSP_001343_1970_COLOR.LBL,2474386758.0
18,PSP_001343_2510_UNFILTERED_COLOR.IMG,PRIMARY SCIENCE PHASE,1343,1300 - 1399,90.0,0.0,70.80785571131,70.750764087588,124.04569087478,123.95992039594,60.110941,16.192198,46.40834,15.30475,132.661761,22.496215,145.997194,2006-11-09T03:22:33.017,2006-11-09T03:22:33.107,"""847509771:61577""",2016-02-28T15:52:05,"""847509773:15653""",2016-02-28T15:52:05,0.000127874243110867,0.029653465748814,"(900 <NM>, 700 <NM>, 500 <NM>)",https://hirise-pds.lpl.arizona.edu/PDS/RDR/PSP/ORB_001300_001399/PSP_001343_2510/PSP_001343_2510_COLOR.JP2,https://hirise-pds.lpl.arizona.edu/PDS/RDR/PSP/ORB_001300_001399/PSP_001343_2510/PSP_001343_2510_COLOR.LBL,1076302656.0
19,PSP_001344_2465_UNFILTERED_COLOR.IMG,PRIMARY SCIENCE PHASE,1344,1300 - 1399,90.0,0.0,66.016057156343,65.971425882725,94.316315276758,94.249713922027,56.604971,0.304507,56.777284,15.11828,132.699016,51.708613,175.716985,2006-11-09T05:13:11.534,2006-11-09T05:13:11.619,"""847516410:29606""",2016-02-28T15:38:00,"""847516411:31648""",2016-02-28T15:38:00,9.6569117115387e-05,0.03915686539854,"(900 <NM>, 700 <NM>, 500 <NM>)",https://hirise-pds.lpl.arizona.edu/PDS/RDR/PSP/ORB_001300_001399/PSP_001344_2465/PSP_001344_2465_COLOR.JP2,https://hirise-pds.lpl.arizona.edu/PDS/RDR/PSP/ORB_001300_001399/PSP_001344_2465/PSP_001344_2465_COLOR.LBL,497007288.0
